Approved,,,,,,,,,,,
,,,,,,,,,,,
HIT ID,Worker ID,Lifetime Approval Rate,Surveycode,approved,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A3169N2SCN3ENK,100% (1/1),6938384203,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A8TIL9U6YHG5,100% (3/3),5933059672,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A2SBN9B6Q3DN2X,100% (1/1),8456357298,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A144OK7GGOQZKS,100% (1/1),1224663788,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A5TI9UQEPLNWI,100% (2/2),1542085297,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A3VOMP0WOJTB4I,100% (4/4),9324099626,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A3GUVWDWXARFHF,100% (1/1),1333731468,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A26ZENZ5G8AEGM,100% (1/1),2676076907,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A3G5IPGLH1IIZN,100% (1/1),8932750937,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A3696JXTRKL2FI,100% (1/1),1307832379,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A1T6RFUU0OTS0M,100% (1/1),5481447125,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A2460MAJX0NA82,100% (1/1),7541356068,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A37DFWV5W6PXMS,100% (1/1),2573456340,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A1Z6F6EIUJFC6T,100% (1/1),9977271277,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A18LFH7XW61JO9,100% (3/3),1204782617,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A2J7L7S9GCPJ8V,100% (1/1),9929414987,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A2AO7QP5THYKQF,100% (2/2),9455915833,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,AB66CTVQ90RCV,100% (1/1),7171857543,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A1D9ZWU1M46SAF,100% (1/1),4743084227,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A6IP0HCC1ZZRX,100% (1/1),5854424065,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A2JGQY973CL8DO,100% (1/1),4821201353,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A245CIYS63PTF2,100% (1/1),9852505531,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A1AKUGDDF3KTDX,100% (1/1),5437794891,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,AQFAJT9U9AHOW,100% (1/1),8547350233,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A1XBVNMQLREX5A,100% (1/1),4098320212,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A1RF3SUO8U3QWU,100% (1/1),7285832799,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A3G991Y0PG5BIC,100% (1/1),413678344,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A3NIZZIMRW6858,100% (1/1),3097464470,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A1OCEC1TBE3CWA,100% (1/1),6614997019,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A2LP305VI4WP0,100% (1/1),5300848721,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A122UC2R9WJK0C,100% (1/1),3169899387,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A134M46ZP1H02D,100% (1/1),1677418556,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A38QR6HP33J0JE,100% (1/1),6049601281,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A3R4SD33QQVAJX,100% (1/1),5249574901,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A2O7V3NTBF9RRE,100% (1/1),9969143769,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A1RQIKVC22VAFY,100% (1/1),353573160,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,AQ3KPKZ6UIYPF,100% (1/1),5694600511,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A3ICFFGBUY4WP9,100% (1/1),2450905623,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A2N0TXGUDOHKKR,100% (1/1),6762524992,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A10AY39RH8ZB7I,100% (1/1),1443244270,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A2H95JVPEKRUWA,100% (1/1),5644336869,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A34FEDYGGZ4BN8,100% (1/1),4238469940,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A2YQOUXXSSHJ3V,100% (1/1),4869696940,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A3HATDOK200M32,100% (1/1),1664344756,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A4TQSZDPARE7I,50% (1/2),3730791816,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A270JQUOEF9BUD,100% (2/2),2489733137,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,AUN4BGGKSK045,100% (1/1),9851201758,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A2G1CPU70FHS68,100% (2/2),2536485325,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,AAV3UOXN5TXAU,100% (1/1),4968874659,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A2VKACLXTMOQWO,100% (1/1),6189352832,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A1PV0Y78FMUYCK,100% (1/1),4781124247,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A3ABJN1IL7UCZ8,100% (1/1),5442338502,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A3Q9UK9RCL87O8,100% (1/1),3099331827,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A29ZTF7JUO8F39,100% (1/1),7041585599,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A19Q990ORTCBN4,100% (1/1),1474522310,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A18EWG6CNKAO2J,100% (2/2),8667362499,1,,,,,,,3
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A39XLBFLSTLS,100% (1/1),7378137204,1,,,,1,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A198QA1OQBUJV1,100% (1/1),2724507693,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A1BF1W2XN5BWFQ,100% (1/1),45821764,1,,,,,,,
3KTZHH2ONJ6WAXE3NWMUFER6NPPM84,A243X2Y9HP7630,100% (1/1),6091071427,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,AKV1P0K20UNF0,100% (1/1),5818858225,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,AT3C00TKZK13L,100% (1/1),1206084038,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,AAUXQDLH9Z1YS,100% (1/1),9957313621,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,A1AWR7C38PW42P,100% (1/1),5626692855,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,A3UV55HC87DO9C,100% (1/1),8543557422,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,A1OQ2PJEIOF705,100% (1/1),7777554267,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,A1LA6CIGBNDOH9,100% (1/1),3712697685,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,A3PIRKF57QSWMS,100% (1/1),7226778315,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,A31Y7PAMZO5GVZ,100% (1/1),2782820933,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,AC0XIIKGIRBSH,100% (1/1),4085624194,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,A1CF1W8CP0DHB0,100% (1/1),4521487229,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,A3AJE1ORZMFDON,100% (1/1),770892705,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,A3NZAEOHAO5LT6,100% (1/1),3758135200,1,,,,,,,
3421H3BM9B86NURSPRFGZIU03ZY9JU,A21ENG0H0098V2,100% (1/1),7283192682,1,,,,,,,
3P0I4CQYVZYV01VXYFHDLYJXZTWOWI,A3HWIDZ2MRAKTX,100% (1/1),1076435060,1,,,,,,,
3P0I4CQYVZYV01VXYFHDLYJXZTWOWI,A2AFJQXQ5DV9U8,67% (2/3),7692005275,1,,,,,,,
3P0I4CQYVZYV01VXYFHDLYJXZTWOWI,AYFDUTHXE54I,100% (1/1),1736057987,1,,,,,,,
3P0I4CQYVZYV01VXYFHDLYJXZTWOWI,A2G1CPU70FHS68,100% (2/2),1492404211,1,,,,,,,
3P0I4CQYVZYV01VXYFHDLYJXZTWOWI,A270JQUOEF9BUD,100% (2/2),9884709957,1,,,,,,,
3P0I4CQYVZYV01VXYFHDLYJXZTWOWI,A3MJTLXXW8XN36,100% (1/1),2761405473,1,,,,,,,
3P0I4CQYVZYV01VXYFHDLYJXZTWOWI,A30KYQGABO7JER,100% (1/1),8783607254,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A3169N2SCN3ENK,100% (1/1),6938384203,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A8TIL9U6YHG5,100% (3/3),5933059672,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A2SBN9B6Q3DN2X,100% (1/1),8456357298,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A144OK7GGOQZKS,100% (1/1),1224663788,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A5TI9UQEPLNWI,100% (2/2),1542085297,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A3VOMP0WOJTB4I,100% (4/4),9324099626,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A3GUVWDWXARFHF,100% (1/1),1333731468,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A26ZENZ5G8AEGM,100% (1/1),2676076907,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A3G5IPGLH1IIZN,100% (1/1),8932750937,1,,#NAME?,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A3696JXTRKL2FI,100% (1/1),1307832379,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A1T6RFUU0OTS0M,100% (1/1),5481447125,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A2460MAJX0NA82,100% (1/1),7541356068,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A37DFWV5W6PXMS,100% (1/1),2573456340,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A1Z6F6EIUJFC6T,100% (1/1),9977271277,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A18LFH7XW61JO9,100% (3/3),1204782617,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A2J7L7S9GCPJ8V,100% (1/1),9929414987,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,A2AO7QP5THYKQF,100% (2/2),9455915833,1,,,,,,,
3MNJFORX8CV7H53K3BBE84X6OZ35F7,AB66CTVQ90RCV,100% (1/1),7171857543,1,,,,,,,